,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
13597,2448104572,['조철현'],['주식회사 신세계'],1995-10-17,4.12E+12,['112'],4.10E+12,SCC
13598,2448104572,,['주식회사 신세계'],1973-12-27,4.02E+12,['015'],4.00E+12,S
13599,2448104572,['조철현'],['주식회사 신세계'],1989-07-21,4.02E+12,['016'],4.00E+12,SHINSEGAE
13600,2448104572,,['주식회사 신세계'],1973-12-26,4.02E+12,['006'],4.00E+12,S
13601,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2020-03-05,4.02E+12,['25'],4.02E+12,S.TYLE SHOWCASE
13602,2448104572,,['주식회사 신세계'],1973-12-27,4.02E+12,['044'],4.00E+12,공작 PEACOCK
13603,2448104572,['조철현'],['주식회사 신세계'],1988-05-12,7.02E+12,['018'],4.00E+12,TOMORROW
13604,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2016-09-09,4.02E+12,['26'],4.01E+12,Onoma
13605,2448104572,"['고승호', '조철현']",['주식회사 신세계'],1994-11-15,5.02E+12,['015'],4.00E+12,공작 PEACOCK
13606,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2012-01-06,7.12E+12,['35'],4.10E+12,LOOKIEBLUE SHINSEGAE
13607,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-03-24,4.12E+12,['35'],4.10E+12,SHOESPRESSO
13608,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2012-01-06,7.12E+12,['35'],4.10E+12,desize SPECIAL SIZE COLLECTION
13609,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2012-01-06,7.12E+12,['35'],,신세계센텀
13610,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-06-13,4.02E+12,['03'],4.01E+12,SHINSEGAE FOOD THE CHEF'S CHOICE
13611,2448104572,,['주식회사 신세계'],1972-05-11,4.02E+12,['019'],4.00E+12,공작 PEACOCK
13612,2448104572,['조철현'],['주식회사 신세계'],2017-06-23,4.02E+12,['14'],4.01E+12,OFFSTAGE
13613,2448104572,['조철현'],['주식회사 신세계'],2005-10-05,4.02E+12,['14'],4.01E+12,샹쁘엥 CENT POINTS cp
13614,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2010-05-25,4.02E+12,['24'],4.01E+12,STYLE market by SHINSEGAE
13615,2448104572,,['주식회사 신세계'],1972-05-12,4.02E+12,['029'],4.00E+12,S
13616,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2018-01-17,4.02E+12,['35'],4.01E+12,CASAPAVO
13617,2448104572,['조철현'],['주식회사 신세계'],1997-09-04,4.12E+12,['112'],4.10E+12,IT'S NICE TO SEE YOU AGAIN AT
13618,2448104572,['조철현'],['주식회사 신세계'],2011-03-10,4.02E+12,['05'],4.01E+12,TRINITY SPORT
13619,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2011-09-27,4.02E+12,"['14', '18', '21', '26', '34']",4.01E+12,Boon Jr.
13620,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2013-11-08,4.12E+12,['35'],4.10E+12,
13621,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2016-04-26,4.12E+12,['35'],4.10E+12,SHINSEGAE DUTY FREE
