BusinessNum,PerformAgent,MergedText
1351900049,한국화학융합시험연구원,EQU 국제상호인정시험평가능력기반구축(첨단그린도시융합기술제품평가시스템) 1415125172.0 2.01e+19 NFEC-2013-06-179653 2013.0 2012.0 N38 지식경제부 U10729 산업기술표준화및인증지원 ACB2931 50116.0 기타 환경기반기술 30400.0 환경친화적인 소재·제품 및 공정기술 K99 기타 전기/전자 O10 환경예측/감시/평가 K10 디스플레이
1351900049,한국건설기술연구원,EQU 공동주택 바닥충격음 완화를 위한 표준바닥구조의 설계 시공기술 및 활용방안연구 1500000211.0 2.01e+19 NFEC-2011-01-135825 2003.0 2003.0 17 건설교통부 2.90E+15 건설핵심기술연구개발사업 B090023 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 40000.0 <비전Ⅳ. 기반주력산업 가치창출> 분야 Q 건설·교통 nan nan nan nan
1351900049,삼익THK(주),EQU 초정밀급(SP급) 리니어 모션 가이드 개발 1410046084.0 2.01e+19 NFEC-2011-02-141052 2004.0 2006.0 38 산업자원부 2.30E+15 부품소재기술개발 ZC82632 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 F4 기계 nan 산업·일반기계 nan nan
1351900049,한국원자력연구원,EQU 고연소도 핵연료 조사시험 추적연구 및 종합성능검증 조사시험기술 개발 1355052736.0 201000000000.0 NFEC-2005-12-043755 2005.0 2007.0 21 과학기술부 2.01E+13 원자력기술개발사업 B551909 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 P0 원자력 nan 달리 분류되지 않는 원자력 nan nan
1351900049,(주)대우건설,EQU 유틸리티 기반 상수도시스템 에너지 효율화 및 모니터링 기술 개발 1485016136.0 2.02e+19 NFEC-2019-10-258493 2019.0 2019.0 P23 환경부 B014 글로벌탑환경기술개발사업 ZA13580 10411.0 기타 정보기술 120101.0 위의 중점과학기술에 속하지 않는 기타 연구 EH0202 정수장 효율향상/고도처리기술 nan nan nan nan
1351900049,대우조선해양(주),EQU 심해 석유 생산망 FEED 설계 및 부유체 핵심 기술 개발 1415130611.0 2.02e+19 NFEC-2015-05-202461 2014.0 2013.0 P21 산업통상자원부 U10762 미래산업선도기술개발 ZC86312 50218.0 기타 에너지기술 40300.0 해양구조물 및 장비기술 EA1006 해양구조물/설비기술 nan nan nan nan
1351900049,한국원자력의학원,EQU 국가방사선비상진료센터 운영 1711021769.0 2.01e+19 NFEC-2014-11-192901 2014.0 2014.0 P12 미래창조과학부 1.21E+22 한국원자력의학원연구운영비지원 B551913 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가전략기술에 속하지 않는 기타 연구 EG99 기타 원자력 nan nan nan nan
1351900049,한국원자력연구소,EQU 연구로계통관리 1350008859.0 201000000000.0 NFEC-2005-12-043652 2003.0 2003.0 21 과학기술부 2.00E+15 원자력연구소 ZD02184 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 P 원자력 nan nan nan nan
1351900049,(재)한국섬유기계연구소,EQU 섬유기계연구센터설립 1410043667.0 2.01e+19 NFEC-2007-10-009728 2002.0 2003.0 38 산업자원부 2.30E+15 산업기술기반구축 ZC87910 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 F 기계 nan nan nan nan
1351900049,서영대학교,EQU 서영대학교 1345212024.0 2.01e+19 NFEC-2014-09-191500 2013.0 2013.0 P13 교육부 5.31E+22 전문대학교육역량강화(0.25) ACD3509 nan nan nan nan nan nan nan nan nan nan
1351900049,영산대학교 LINC사업단,EQU 산학협력 선도대학(LINC) 육성사업 1345214054.0 2.01e+19 NFEC-2014-07-190219 2014.0 2013.0 P13 교육부 5.31E+22 산학협력선도대학(LINC)육성(0.5) ACG1096 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 ZZ nan nan nan nan nan
1351900049,대우조선해양(주),EQU 차세대 고부가가치선박의 저진동 소음 기술개발 1415077404.0 2.01e+19 NFEC-2009-10-074389 2008.0 2007.0 38 산업자원부 2.01E+13 중장기산업기술개발(구.산학연기술개발(구 중장기전략기술개발)) ZC86312 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 40200.0 고부가가치 선박기술 R8 우주·항공·천문·해양 nan 조선 nan nan
1351900049,(주)대우건설,EQU 슬러지 고온 용해 유기산을 외부탄소원으로 하는 수직형 MBR 고도하수처리기술 개발 1480002837.0 2.01e+19 NFEC-2011-01-133971 2003.0 2003.0 34 환경부 2.60E+15 차세대핵심환경기술개발 ZA13580 50000.0 ET분야 30000.0 <비전Ⅲ. 환경/에너지 프론티어 진흥> N 환경 nan nan nan nan
1351900049,전북대학교,EQU 자동차부품·금형 센터 1415082025.0 2.01e+19 NFEC-2007-10-016162 2003.0 2007.0 38 산업자원부 2.01E+13 지역기술혁신센터<RIC=TIC+RRC> 7000903 70000.0 위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구 60000.0 위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구 F2 기계 nan 육상수송기계 nan nan
1351900049,(주)대우건설,EQU Bio magnetite를 이용한 고도하수처리 1480001273.0 2.01e+19 NFEC-2009-03-069879 2006.0 2005.0 34 환경부 2.60E+15 차세대핵심환경기술개발 ZA13580 50000.0 ET분야 30000.0 <비전Ⅲ. 환경/에너지 프론티어 진흥> N 환경 nan nan nan nan
