BusinessNum,PublicationAgency,MergedText
5808602038,(주)가온테크,공조기 에너지 절감 향상을 위한 대향류형 열교환기 개발 대한민국 1425099421.0 공조기 에너지 절감 향상을 위한 대향류형 열교환기 개발 송길섭
5808602038,(주)가온테크,주기/보기 선박용 Urea-SCR Closed Loop형 통합제어 시스템 개발 대한민국 1425082312.0 주기/보기 선박용 Urea-SCR Closed Loop형 통합제어 시스템 개발 조경환
5808602038,(주)가온테크,저주파수 보호방식 개선용 디지털 입력선택 출력제어 장치개발 대한민국 1425075417.0 저주파수 보호방식 개선용 디지털 입력선택 출력제어 장치개발 조영인
4098600910,인엘씨테크놀러지,"차세대 ROADM 시스템의 Colorless, Directionless,Contentionless 기능 구현을 위한 Array Wavelength Blocker module개발 대한민국 1415131292.0 차세대 ROADM 시스템의 Colorless, Directionless,Contentionless 기능 구현을 위한 Array Wavelength Blocker module개발 서성우"
6728101587,심포니이미징,다중 시점추적 가상현실 디스플레이 대한민국 1425105858.0 다중 시점추적 가상현실 디스플레이 개발 강창만
1168101538,(주)피피아이,직교 위상 편이 변조를 위한 병렬형 광변조기 개발 대한민국 1415118120.0 직교 위상 편이 변조를 위한 병렬형 광변조기 개발 김동훈
1168101538,(주)피피아이,T-ROADM 관련 광부품 기술개발 대한민국 1415134497.0 T-ROADM 관련 광부품 기술개발 김해경
1168101538,(주)피피아이,PLC기반의 휴대용 Multi-wavelength 대한민국 1415117612.0 PLC기반의 휴대용 Multi-wavelength 김진봉
1168101538,(주)피피아이,초소형 OTDR 용 아날로그 ASIC 칩 및 DSP 회로 기술 개발 대한민국 1425111886.0 초소형 OTDR 용 아날로그 ASIC 칩 및 DSP 회로 기술 개발 채승훈
1058805342,엑스투아이,오픈형 상황인식 서비스 실현을 위한 Recognize Box(IoT Hub)와 관련 디바이스 및 시스템 구축 대한민국 1425107409.0 오픈형 상황인식 서비스 실현을 위한 Recognize Box(IoT Hub)와 관련 디바이스 및 시스템 구축 정광호
1058805342,엑스투아이,지능형 상황인식 플랫폼을 통한 스마트 팩토리 환경 구축 대한민국 1425131773.0 지능형상황인식플랫폼을 통한 스마트 팩토리 환경 구축 정광호
