,BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
32641,1178101784,1.02E+12,68070249,KR,2019-03-04,A,20190024891,KR,2019-09-17,A,20190105522
32642,1178101784,1.02E+12,61726998,CN,2017-08-31,A,2.02E+11,CN,2018-06-29,A,108220410
32643,1178101784,1.02E+12,76140135,KR,2021-06-14,W,2021007369,WO,2021-12-23,A1,2021256793
32644,1178101784,1.02E+12,61726830,JP,2017-12-21,A,2019534797,JP,2020-01-30,A,2020503028
32645,1178101784,1.02E+12,61726830,JP,2017-12-21,A,2019534797,JP,2021-08-04,B2,6914551
32646,1178101784,1.02E+12,63600881,JP,2018-02-23,A,2019546145,JP,2020-03-19,A,2020508067
32647,1178101784,1.02E+12,57080496,US,2016-03-11,A,2.02E+11,US,2018-03-01,A1,2018055894
32648,1178101784,1.02E+12,57080496,KR,2017-02-01,A,20170014513,KR,2017-02-10,A,20170015958
32649,1178101784,1.02E+12,61525027,US,2017-08-07,A,2.02E+11,US,2019-06-13,A1,2019177783
32650,1178101784,1.02E+12,61525027,CN,2017-08-07,A,2.02E+11,CN,2019-05-21,A,109789173
32651,1178101784,1.02E+12,67951430,KR,2019-02-20,A,20190019741,KR,2019-09-02,A,20190101885
32652,1178101784,1.02E+12,68070293,JP,2019-03-05,A,2020546473,JP,2021-06-24,A,2021515557
32653,1178101784,1.02E+12,,,,,,,,,
32654,1178101784,1.02E+12,69103422,JP,2019-06-12,A,2020570102,JP,2021-10-14,A,2021527415
32655,1178101784,1.02E+12,68070249,EP,2019-03-05,A,19764446,EP,2021-12-08,A4,3763830
32656,1178101784,1.02E+12,68070249,KR,2020-02-20,A,20200021238,KR,2020-03-20,B1,102091514
32657,1178101784,1.02E+12,61729302,EP,2017-12-20,A,17889283,EP,2021-10-20,B1,3561070
32658,1178101784,1.02E+12,61729302,EP,2017-12-20,A,17889283,EP,2020-08-05,A4,3561070
32659,1178101784,1.02E+12,61729302,EP,2017-12-20,A,17889283,EP,2019-10-30,A1,3561070
32660,1178101784,1.02E+12,61726830,US,2017-12-21,A,2.02E+11,US,2020-05-21,A1,2020157608
32661,1178101784,1.02E+12,61726830,CN,2017-08-31,A,2.02E+11,CN,2018-07-03,A,108239670
32662,1178101784,1.02E+12,70291099,PH,2021-04-30,A,12021550985,PH,2021-11-08,A1,12021550985
32663,1178101784,1.02E+12,44920491,KR,2011-01-04,A,20110000660,KR,2011-07-19,A,20110082480
32664,1178101784,1.02E+12,44920491,KR,2011-01-04,A,20110000661,KR,2011-07-19,A,20110082481
32665,1178101784,1.02E+12,67775617,CN,2019-02-18,A,2.02E+11,CN,2020-10-09,A,111757944
32666,1178101784,1.02E+12,54868062,CN,2015-05-19,A,2.02E+11,CN,2017-03-22,A,106535907
32667,1178101784,1.02E+12,57080496,CN,2016-03-11,A,2.02E+11,CN,2018-03-02,A,107750161
32668,1178101784,1.02E+12,57080496,US,2016-03-11,A,2.02E+11,US,2018-03-01,A1,2018055894
32669,1178101784,1.02E+12,62921135,CN,2017-12-27,A,2.02E+11,CN,2019-10-25,A,110382720
32670,1178101784,1.02E+12,63253991,KR,2018-02-23,W,2018002281,WO,2018-08-30,A1,2018155961
32671,1178101784,1.02E+12,69103424,JP,2019-06-12,A,2020570097,JP,2021-10-14,A,2021527414
32672,1178101784,1.02E+12,67950473,CN,2019-02-21,A,2.02E+11,CN,2020-11-13,A,111936640
32673,1178101784,1.02E+12,67950473,US,2019-02-21,A,2.02E+11,US,2021-01-07,A1,2021002707
32674,1178101784,1.02E+12,,,,,,,,,
32675,1178101784,1.02E+12,67469198,CN,2018-12-21,A,2.02E+11,CN,2020-08-25,A,111587294
32676,1178101784,1.02E+12,44920491,KR,2016-03-11,A,20160029646,KR,2016-03-24,A,20160032722
32677,1178101784,1.02E+12,61726998,US,2017-12-15,A,2.02E+11,US,2020-05-21,A1,2020157632
32678,1178101784,1.02E+12,66285261,CN,2019-12-18,A,2.02E+11,CN,2021-08-06,A,113227377
32679,1178101784,1.02E+12,61531409,JP,2017-08-09,A,2019508939,JP,2020-09-30,B2,6763083
32680,1178101784,1.02E+12,61525027,EP,2017-08-07,A,17839750,EP,2020-01-08,A4,3498285
32681,1178101784,1.02E+12,74113991,KR,2020-02-13,W,2020002033,WO,2021-01-14,A1,2021006449
32682,1178101784,1.02E+12,66281206,EP,2018-04-25,A,18867803,EP,2020-08-05,A1,3690065
32683,1178101784,1.02E+12,68070249,JP,2019-03-05,A,2020546410,JP,2021-07-01,A,2021516054
32684,1178101784,1.02E+12,61726998,CN,2017-08-31,A,2.02E+11,CN,2018-06-29,A,108220410
32685,1178101784,1.02E+12,61726830,CN,2017-08-31,A,2.02E+11,CN,2018-07-03,A,108239670
32686,1178101784,1.02E+12,61726830,JP,2017-12-21,A,2019534797,JP,2021-08-04,B2,6914551
32687,1178101784,1.02E+12,61726830,KR,2017-06-27,A,20170080905,KR,2018-03-05,B1,101833503
