,BusinessNum,applicantName,applicationDate,applicationNumber,inventionTitle,ipcNumber,registerNumber,registerStatus
591,6320100043,['주식회사 우진'],2014-12-09,2.02E+12,커넥팅 유닛 및 전기방식용 MMO 튜블러 전극,"['C23F 13/00', 'C23F 13/18']",,거절
592,2118703150,,,,,,,
593,1248606321,,,,,,,
594,2038100178,,,,,,,
595,5038103273,,,,,,,
596,5658806780,,,,,,,
597,3148104968,,,,,,,
598,1218606432,,,,,,,
599,5038503647,,,,,,,
600,2288705917,,,,,,,
601,1148700685,,,,,,,
602,1109007563,,,,,,,
603,5608104291,,,,,,,
604,4170805951,,,,,,,
605,2108103034,,,,,,,
606,2648109907,,,,,,,
607,2238604666,,,,,,,
608,5038102188,,,,,,,
609,2148806978,,,,,,,
610,4958708861,,,,,,,
611,1018602908,,,,,,,
612,2648105504,,,,,,,
613,2098104656,,,,,,,
614,3138104254,,,,,,,
615,4108605393,,,,,,,
616,3148106357,,,,,,,
617,3088809208,,,,,,,
618,3388603942,,,,,,,
619,6208103192,,,,,,,
620,4178104981,,,,,,,
621,4168102042,,,,,,,
622,7088803730,,,,,,,
623,3168108150,,,,,,,
624,6848602082,,,,,,,
625,8458104044,,,,,,,
626,6138103258,,,,,,,
627,2238805581,,,,,,,
628,1168108905,,,,,,,
629,6208102710,,,,,,,
630,1078804588,,,,,,,
631,2118802437,,,,,,,
632,3488605545,,,,,,,
633,6878805297,,,,,,,
634,1268103381,,,,,,,
635,3188703297,,,,,,,
636,2018600859,,,,,,,
637,5028607422,,,,,,,
638,1198608433,,,,,,,
639,6178107394,,,,,,,
640,5488608212,,,,,,,
641,4868107145,,,,,,,
642,7378108023,,,,,,,
643,1200207414,,,,,,,
644,8638605417,,,,,,,
645,2208608731,,,,,,,
646,6428603418,,,,,,,
647,6718702785,,,,,,,
648,8458806773,,,,,,,
649,7678108791,,,,,,,
650,4098103142,,,,,,,
651,5618600292,,,,,,,
652,1098603487,,,,,,,
653,3628702720,,,,,,,
654,1078609514,,,,,,,
655,1358605089,,,,,,,
656,2268109430,,,,,,,
657,6618603662,,,,,,,
658,5238107804,,,,,,,
659,8148101054,,,,,,,
660,1228101892,,,,,,,
661,5060200455,,,,,,,
662,5028101937,,,,,,,
663,6708800893,['우진전기주식회사'],1988-04-29,2.02E+12,카셋트의착탈장치,"['G11B 15/66', 'G11B 15/675']",2.00E+12,소멸
664,6081408262,,,,,,,
665,7038607220,,,,,,,
666,1218602086,,,,,,,
667,1238609537,,,,,,,
668,8137408711,,,,,,,
669,1308609893,,,,,,,
670,6818806095,,,,,,,
671,4688101429,,,,,,,
672,4898800848,,,,,,,
673,1138601216,,,,,,,
674,4788606843,,,,,,,
675,5158100601,,,,,,,
676,4128105659,,,,,,,
677,6818100057,['주식회사 케이씨'],2009-10-27,2.02E+12,이송장치의 롤러,"['B65G 39/10', 'B65G 49/06', 'H01L 21/677', 'G02F 1/13']",2.00E+12,소멸
678,6818100057,['주식회사 케이씨'],2007-05-31,2.02E+12,공기순환식 대면적 기판 부상장치,"['G02F 1/13', 'H01L 21/677', 'B65G 47/91', 'B65G 49/06']",,취하
679,6818100057,['주식회사 케이씨'],2007-12-26,2.02E+12,기판 세정용 챔버,"['H01L 21/67', 'B05B 1/00']",2.00E+12,소멸
680,6818100057,['주식회사 케이씨'],2009-12-21,2.02E+12,대면적 기판의 이송축,"['B65G 39/10', 'B65G 49/06', 'H01L 21/677', 'F16C 13/00']",2.00E+12,소멸
