,BusinessNum,cmpCd,cmpNm,cmpScl,criGrd,accDate,grdDesc
432,8198707609,9326883,한라전설,중소기업,B3,2022-07-19,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
433,6168607017,,,,,,
434,1198607881,,,,,,
435,1378607735,,,,,,
436,1068602901,,,,,,
437,2118603833,,,,,,
438,6128102788,4074934,신라산업,중소기업,C2,2022-07-19,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
439,4178101548,,,,,,
440,1058701694,,,,,,
441,3148100117,,,,,,
442,4168104642,,,,,,
443,2148102516,,,,,,
444,4278801761,,,,,,
445,4188108497,,,,,,
446,1378106944,,,,,,
447,1378607374,,,,,,
448,1358104277,,,,,,
449,1298105701,1671911,미산코퍼레이션,중소기업,C1,2022-07-19,"현재 수준에서 신용능력은 제한적이며, 장래 거래안정성 저하가능성이 예상되어 주의가 요망되는 수준"
450,4028508278,,,,,,
451,1058608476,,,,,,
452,2208805784,,,,,,
453,1098602476,,,,,,
454,6030502326,,,,,,
455,2718805919,,,,,,
456,4028107719,,,,,,
457,1351804662,,,,,,
458,2538801250,,,,,,
459,2138103637,,,,,,
460,1138606690,,,,,,
461,2118709155,,,,,,
462,1078607880,,,,,,
463,1018804274,,,,,,
464,6198609097,8247504,두우정보통신,중소기업,C3,2022-07-19,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준
465,1218100365,,,,,,
466,4168104411,1909562,동남종합건설,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
467,1238600996,,,,,,
468,1108106547,,,,,,
469,2748806402,,,,,,
470,2048109389,,,,,,
471,3158105530,,,,,,
472,1058604287,,,,,,
473,4328707527,,,,,,
474,1038603678,,,,,,
475,1058704615,,,,,,
476,3038100130,,,,,,
477,4398701034,,,,,,
478,4558801185,,,,,,
479,1078104587,,,,,,
480,1208205110,,,,,,
481,3128603972,,,,,,
482,4038106678,,,,,,
483,1078704532,,,,,,
484,4098603120,,,,,,
485,6208101853,,,,,,
486,3678104705,,,,,,
